Table S12.H. Regression coefficients* for 30 year cardiovascular risks models - PREVENT Enhanced for HbA1c,,,,,,,,,,
,Total CVD,,ASCVD,,Heart Failure,,Coronary Heart Disease,,Stroke,
Beta coefficients,Women,Men,Women,Men,Women,Men,Women,Men,Women,Men
"Age, 10 years",0.5343493,0.4519873,0.4555574,0.3883267,0.6210856,0.5703729,0.4853187,0.3944508,0.4296679,0.397402
Age squared,-0.0952314,-0.101624,-0.0903501,-0.0958114,-0.1000972,-0.1084544,-0.0929654,-0.0956857,-0.0883118,-0.0953425
non-HDL-C per 1 mmol/L,0.0298124,0.0700456,0.1148321,0.1613374,,,0.1733152,0.2519365,0.0487321,0.0180202
HDL-C per 0.3 mmol/L,-0.1578451,-0.0968005,-0.1458754,-0.1144418,,,-0.1929452,-0.181881,-0.1001406,-0.0242534
SBP <110 per 20 mmHg,-0.1504488,-0.1923527,0.0089323,-0.0474338,-0.3773697,-0.4471767,0.0092228,-0.0829203,-0.0199947,-0.0283414
SBP ≥110 per 20 mmHg,0.3173368,0.2827043,0.3139029,0.2691281,0.295316,0.2910152,0.298244,0.2534596,0.3198382,0.2870641
Diabetes,0.4314738,0.3417152,0.386281,0.2859773,0.5681692,0.4507242,0.4210289,0.3298202,0.3270964,0.1894407
Current smoking,0.3209399,0.2105272,0.2714309,0.1759553,0.3449139,0.259585,0.3254237,0.1773379,0.2039542,0.1632278
"BMI <30, per 5 kg/m2",,,,,0.0540094,0.0850676,,,,
"BMI 30+, per 5 kg/m2",,,,,0.249767,0.2637222,,,,
"eGFR <60, per -15 ml",0.1771435,0.1113291,0.0930987,-0.0242898,0.2875781,0.2454706,0.1183472,-0.0059506,0.0699052,-0.0027618
"eGFR 60+, per -15 ml",0.0582828,0.0640135,0.0532216,0.0644523,0.0692013,0.0675649,0.0462805,0.0625623,0.062555,0.0605617
Anti-hypertensive use,0.2888947,0.2334248,0.1862181,0.142874,0.3334936,0.2611991,0.1565331,0.0960268,0.2080978,0.1700368
Statin use,-0.0795886,-0.0299421,0.0106964,0.0115062,,,0.033512,0.0489115,-0.0142009,-0.0256155
Treated SBP ≥110 mm Hg per 20 mm Hg,-0.0600438,-0.0393204,-0.0329713,-0.02333,-0.0922339,-0.0408908,-0.0866143,-0.050231,-0.0029543,0.0201099
Treated non-HDL-C,0.0920598,0.1228854,0.0583609,0.0899664,,,0.0468497,0.0573554,0.0574525,0.1281684
Age per 10yr * non-HDL-C per 1 mmol/L,-0.0696108,-0.0463737,-0.0463273,-0.0275478,,,-0.0564555,-0.0498819,-0.0315382,0.0185524
Age per 10yr * HDL-C per 1 mml/L,0.0308807,0.0184599,0.0324717,0.022573,,,0.0481034,0.0479144,0.0166448,-0.0127335
Age per 10yr * SBP ≥110 mm Hg per 20 mmHg,-0.0954051,-0.1085744,-0.1004777,-0.090802,-0.0907885,-0.1241051,-0.0819801,-0.0796665,-0.114502,-0.1105848
Age per 10yr * diabetes,-0.2763408,-0.2208049,-0.2266944,-0.1771894,-0.3554646,-0.2849461,-0.2264933,-0.1822839,-0.2298924,-0.1744077
Age per 10yr * current smoking,-0.1623944,-0.1577978,-0.1541859,-0.1548847,-0.2008846,-0.2032308,-0.153584,-0.1744951,-0.170899,-0.1333941
Age per 10yr * BMI 30+ per 5 kg/m2,,,,,-0.0079611,-0.0239714,,,,
"Age per 10yr * eGFR <60, per -15 ml",-0.1430514,-0.1179375,-0.1286005,-0.0732754,-0.156803,-0.138301,-0.1122738,-0.0259456,-0.1307433,-0.1254591
"HbA1c in DM, per 1%",0.0940543,0.0768169,0.0875827,0.0591089,0.1448336,0.1101184,0.134395,0.0695636,0.0457624,0.0500544
"HbA1c no DM, per 1%",0.1116486,0.0777295,0.1126417,0.0821158,0.1277838,0.0949198,0.1270458,0.0707541,0.1056467,0.0917727
Missing HbA1c,-0.0024798,0.0092204,0.0124356,0.0179755,-0.0022589,0.0084192,0.0374905,0.0491596,-0.017081,-0.0311993
Constant,-1.341059,-1.180767,-2.011533,-1.777708,-2.193553,-1.974999,-2.802642,-2.48433,-2.618396,-2.438154
,,,,,,,,,,
R-square,0.9918,0.9770,0.9918,0.9744,0.9938,0.9874,0.9929,0.9776,0.9914,0.9750
"Centered at age 55, non-HDLC 3.5, HDLC 1.3, SBP 130, BMI 25, eGFR 90, no DM,  non-smoker, no medication used",,,,,,,,,,
"*Dependent variable is the log-odds of the risk (log of risk /(1-risk)). Appendix 4 provides the details of the computation, including the algebra for creating piece-wise linear splines (SBP, BMI, and eGFR). Beta coefficients in the table can be interpreted as log odds ratios.  ",,,,,,,,,,
,,,,,,,,,,
Linear regression of base PREVENT model (Y) on this enhanced model (X) when the enhanced risk prediciton variables are set to missing ,,,,,,,,,,
beta,1.0343,1.0246,1.0394,1.0367,1.0132,1.0056,1.0465,1.0861,1.0280,1.0166
R-square,0.6703,0.9977,0.9957,0.9971,0.4087,0.9974,0.9932,0.9978,0.9944,0.9958